,reaction_id,EC_number
287,DASYN180,2.7.7.41
288,DASYN181,2.7.7.41
289,DB4PS,4.1.99.12
290,DBTS,6.3.3.3
291,DCTPD,3.5.4.13
292,DCYTD,3.5.4.5
293,DDGALK,2.7.1.58
294,DDGLK,2.7.1.45
295,DDPA,2.5.1.54
296,DDPGALA,4.1.2.55
297,DGK1,2.7.4.8
298,DHACOAH,4.2.1.17
299,DHAD1,4.2.1.9
300,DHAD2,4.2.1.9
301,DHAPT,2.7.1.121
302,DHBD,1.3.1.28
303,DHBS,2.7.7.58
304,DHCIND,1.3.1.87
305,DHCINDO,1.13.11.16
306,DHDPRy,1.3.1.26
307,DHFR,1.5.1.3
308,DHFS,6.3.2.17
309,DHNAOT4,2.5.1.74
310,DHNPA2r,4.1.2.25
311,DHORDfum,1.3.98.1
312,DHORTS,3.5.2.3
313,DHPPD,1.3.1.87
314,DHPPDA2,3.5.4.26
315,DHPS2,2.5.1.15
316,DHPTDNR,1.5.1.34
317,DHPTDNRN,1.5.1.34
318,DHPTPE,5.1.99.d
319,DHQS,4.2.3.4
320,DHQTi,4.2.1.10
321,DKGLCNR2y,1.1.1.215
322,DMATT,2.5.1.1
323,DMPPS,1.17.1.2
324,DMQMT,2.1.1.64
325,OP4ENH2,4.2.1.132
326,DNMPPA,3.6.1.-
327,DNTPPA,3.6.1.67
328,DOGULNR,1.1.1.130
329,DPCOAK,2.7.1.24
330,DPR,1.1.1.169
331,DRPA,4.1.2.4
332,DTARTD,4.2.1.81
333,DTMPK,2.7.4.9
334,DURADx,1.3.1.1
335,DURIK1,2.7.1.21
336,DURIPP,2.4.2.4
337,DUTPDP,3.6.1.23
338,DXPRIi,1.1.1.267
339,DXPS,2.2.1.7
340,DXYLK,2.7.1
341,E4PD,1.2.1.72
342,EAR100x,2.3.1.-
343,EAR100y,2.3.1.86
344,EAR120x,2.3.1.-
345,EAR120y,2.3.1.86
346,EAR121x,1.3.1.9
347,EAR121y,1.3.1.10
348,EAR140x,2.3.1.-
349,EAR140y,2.3.1.86
350,EAR141x,1.3.1.9
351,EAR141y,1.3.1.10
352,EAR160x,1.3.1.9
353,EAR160y,1.3.1.10
354,EAR161x,1.3.1.9
355,EAR161y,1.3.1.10
356,EAR180x,1.3.1.9
357,EAR180y,1.3.1.10
358,EAR181x,1.3.1.9
359,EAR181y,1.3.1.10
360,EAR40x,2.3.1.-
361,EAR40y,2.3.1.86
362,EAR60x,2.3.1.-
363,EAR60y,2.3.1.86
364,EAR80x,2.3.1.-
365,EAR80y,2.3.1.86
366,ECOAH1,4.2.1.55
367,ECOAH2,4.2.1.74
368,ECOAH3,4.2.1.74
369,ECOAH4,4.2.1.74
370,ECOAH5,4.2.1.74
371,ECOAH6,4.2.1.74
372,ECOAH7,4.2.1.74
373,ECOAH8,4.2.1.134
374,EDA,4.1.2.55
375,EDD,4.2.1.12
376,EDTXS1,2.3.1.241
377,EDTXS2,2.3.1.243
378,EGMEACPR,1.3.1.10
379,ENO,4.2.1.11
380,EPMEACPR,1.3.1.10
381,ETHAAL,4.3.1.7
382,FA100ACPHi,3.1.2.21
383,FA120ACPHi,3.1.2.21
384,FA140ACPHi,3.1.2.14
385,FA141ACPHi,3.1.2.14
386,FA160ACPHi,3.1.2.14
387,FA161ACPHi,3.1.2.14
388,FA80ACPHi,3.1.2.21
389,FACOAE100,3.1.2.2
390,FACOAE120,3.1.2.2
391,FACOAE140,3.1.2.2
392,FACOAE160,3.1.2.22
393,FACOAE180,3.1.2.2
394,FADRx,1.5.1.45
395,FADRx2,1.5.1.45
396,FBA,4.1.2.13
397,FBA3,4.1.2.13
398,FBP,3.1.3.11
399,FCI,5.3.1.3
400,FCLK,2.7.1.51
401,FCLPA,4.1.2.17
402,FCLT,4.99.1.1
403,FDMO,1.14.14.5
404,FDMO2,1.14.14.5
405,FDMO4,1.14.14.5
406,FE3abcpp,3.6.3.30
407,FEENTERabcpp,3.6.3.34
408,FEROpp,1.16.3.1
409,FFSD,3.2.1.26
410,FLVR,1.5.1.41
411,FLVRx,1.5.1.41
412,FMETTRS,2.1.2.9
413,FMNAT,2.7.7.2
414,FMNRx,1.5.1.42
415,FMNRx2,1.5.1.39
416,FOMETRi,2.1.2.10
417,FORCT,2.8.3.16
418,FRD3,1.3.99.1
419,FRUK,2.7.1.56
420,FTHFD,3.5.1.10
421,FTHFLi,6.3.4.3
422,FUM,4.2.1.2
423,G1PACT,2.3.1.157
424,G1PPpp,3.1.3.10
425,G1PTT,2.7.7.24
426,G1SAT,5.4.3.8
427,G2PP,3.1.3.19
428,G2PPpp,3.1.3.19
429,G3PAT120,2.3.1.15
430,G3PAT140,2.3.1.15
431,G3PAT141,2.3.1.15
432,G3PAT160,2.3.1.15
433,G3PAT161,2.3.1.15
434,G3PAT180,2.3.1.15
435,G3PAT181,2.3.1.15
436,OP4ENH3,4.2.1.80
437,G3PD2,1.1.1.94
438,G3PD7,1.1.99.5
439,G3PT,3.1.3.21
440,G5SD,1.2.1.41
441,G6PDA,3.5.99.6
442,G6PDH2r,1.1.1.49
443,G6PP,3.1.3.9
444,GAL1PPpp,3.1.3.94
445,GALCTD,4.2.1.42
446,GALCTND,4.2.1.6
447,GALKr,2.7.1.6
448,GALM2pp,5.1.3.3
449,GALS3,3.2.1.22
450,GALUi,2.7.7.9
451,GAPD,1.2.1.59
452,GARFT,2.1.2.2
453,GART,2.1.2.-
454,GCALDD,1.2.1.21
455,GDMANE,5
456,GDPDPK,2.7.6.5
457,GDPMNP,3.6.1.21
458,GDPTPDP,3.1.7.2
459,GF6PTA,2.6.1.16
460,GGGABADr,1.2.1.-
461,GGGABAH,3.5.1.94
462,GGPTRCS,6.3.1.11
463,GHBDHx,1.1.1.61
464,GHMT2r,2.1.2.1
465,GK1,2.7.4.8
466,GLBRAN2,2.4.1.18
467,GLCP2,2.4.1.1
468,GLCRAL,4.1.2.20
469,GLCRD,4.2.1.40
470,GLCS1,2.4.1.21
471,GLDBRAN2,2.4.1.18
472,GLGC,2.7.7.27
473,GLNS,6.3.1.2
474,GLNTRS,6.1.1.18
475,GLNabcpp,3.6.3.21
476,GLTPD,1.1.1.M6
477,GLU5K,2.7.2.11
478,GLUCYS,6.3.2.2
479,GLUDC,4.1.1.15
480,GLUDy,1.4.1.4
481,GLUN,6.3.5.5
482,GLUNpp,6.3.5.5
483,GLUPRT,2.4.2.14
484,GLUR,5.1.1.3
485,GLUSy,1.4.1.13
486,GLUTRR,1.2.1.70
487,GLUTRS,6.1.1.24
488,GLUabcpp,3.6.3.21
489,GLXCL,4.1.1.47
490,GLYAT,2.3.1.37
491,OXOADLR,1.2.4.2
492,GLYC3Pabcpp,3.6.3.20
493,GLYCDx,1.1.1.6
494,GLYCK,2.7.1.31
495,GLYCK2,2.7.1.31
496,GLYCL,2.1.2.10
497,GLYCLTDx,1.1.1.79
498,GLYCLTDy,1.1.1.79
499,GLYK,2.7.1.30
500,GLYOX3,4.2.1.130
501,GLYTRS,6.1.1.14
502,GMAND,4.2.1.47
503,GMHEPAT,2.7.7.70
504,GMPR,1.7.1.7
505,GMPS2,6.3.5.2
506,GND,1.1.1.44
507,GNK,2.7.1.12
508,GOFUCR,1.1.1.271
509,GPDDA1,3.1.4.46
510,GPDDA1pp,3.1.4.46
511,GPDDA2,3.1.4.46
512,GPDDA2pp,3.1.4.46
513,GPDDA3,3.1.4.46
514,GPDDA3pp,3.1.4.46
515,GPDDA4,3.1.4.46
516,GPDDA4pp,3.1.4.46
517,GPDDA5,3.1.4.44
518,GPDDA5pp,3.1.4.44
519,GRTT,2.5.1.10
520,GSNK,2.7.1.73
521,GTHOr,1.8.1.7
522,GTHPi,1.11.1.9
523,GTPCI,3.5.4.16
524,GTPCII2,3.5.4.25
525,GTPDPDP,3.6.1.40
526,GTPDPK,2.7.6.5
527,GUACYC,4.6.1.2
528,GUAD,3.5.4.3
529,GUAPRT,2.4.2.8
530,GUI1,5.3.1.12
531,HACD1,1.1.1.35
532,HACD2,1.1.1.35
533,HACD3,1.1.1.35
534,HACD4,1.1.1.35
535,HACD5,1.1.1.35
536,HACD6,1.1.1.35
537,HACD7,1.1.1.35
538,HADPCOADH3,1.1.1.35
539,HBZOPT,2.5.1.39
540,HCO3E,4.2.1.1
541,HCYSMT,2.1.1.10
542,HCYSMT2,2.1.1.10
543,HEMEOS,2.5.1.-
544,HEPT1,2.4
545,HEPT2,2
546,HEPT4,2.4.1.56
547,HETZK,2.7.1.50
548,HEX1,2.7.1.2
549,HEX4,2.7.1.7
550,HEX7,2.7.1.4
551,HISTD,1.1.1.23
552,HISTP,3.1.3.15
553,HISTRS,6.1.1.21
554,HISabcpp,3.6.3.21
555,OXOAEL,3.1.1.24
556,HKNDDH,3.7.1.14
557,HKNTDH,3.7.1.14
558,HMBS,4.3.1.8
559,HMPK1,2.7.1.49
560,HOPNTAL,4.1.3.39
561,HPPK2,2.7.6.3
562,HPPPNDO,1.13.11.16
563,HPYRI,5.3.1.22
564,HPYRRx,1.1.1.81
565,HPYRRy,1.1.1.81
566,HSDy,1.1.1.3
567,HSK,2.7.1.39
568,HSST,2.3.1.46
569,HSTPT,2.6.1.9
570,HXAND,1.17.1.4
571,HXCT,2.8.3.8
572,HXPRT,2.4.2.8
573,HYD3pp,1.18.99.1
574,HYPOE,3.1.3.74
575,ICDHyr,1.1.1.42
576,ICHORS,5.4.4.2
577,ICHORT,3.3.2.1
578,ICL,4.1.3.1
579,IDOND,1.1.1.366
580,IDOND2,1.1.1.264
581,IDONt2rpp,3.6.3
582,IG3PS,4.1.3.-
583,IGPDH,4.2.1.19
584,IGPS,4.1.1.48
585,ILETA,2.6.1.42
586,ILETRS,6.1.1.5
587,IMPC,3.5.4.10
588,IMPD,1.1.1.205
589,INSH,3.2.2.8
590,INSK,2.7.1.73
591,IPDDI,5.3.3.2
592,IPDPS,1.17.1.2
593,IPMD,1.1.1.85
594,IPPMIa,4.2.1.33
595,IPPMIb,4.2.1.33
596,IPPS,2.3.3.13
597,KARA1,1.1.1.86
598,KARA2,1.1.1.86
599,KAS14,2.3.1.86
600,KAS15,2.3.1.180
601,KDOCT2,2.7.7.38
602,KDOPP,3.1.3.45
603,KDOPS,2.5.1.55
604,KG6PDC,4.1.1.85
605,Kabcpp,3.6.3.12
606,L_LACD2,1.1.2.3
607,L_LACD3,1.1.2.3
608,LACZ,3.2.1.23
609,LACZpp,3.2.1.23
610,LALDO2x,1.1.1.79
611,LALDO3,1.2.1.49
612,LALGP,3.4.13.18
613,LCADi,1.2.1.22
614,LCARR,1.1.1.77
615,LCARS,1.1.1.77
616,LDH_D,1.1.1.28
617,LEUTAi,2.6.1.67
618,LEUTRS,6.1.1.4
619,LIPATPT,2.7.7.63
620,LPLIPAL1A120pp,3.1.1.5
621,LPLIPAL1A140pp,3.1.1.5
622,LPLIPAL1A141pp,3.1.1.5
623,LPLIPAL1A160pp,3.1.1.5
624,LPLIPAL1A180pp,3.1.1.5
625,LPLIPAL2A120,3.1.1.5
626,LPLIPAL2A140,3.1.1.5
627,LPLIPAL2A141,3.1.1.5
628,LPLIPAL2A160,3.1.1.5
629,LPLIPAL2A180,3.1.1.5
630,LPLIPAL2E160,3.1.1.5
631,LPLIPAL2E180,3.1.1.5
632,LSERDHr,1.1.1.276
633,LYSDC,4.1.1.18
634,LYSTRS,6.1.1.6
635,LYSabcpp,3.6.3.21
636,LYXI,5.3.1.-
637,M1PD,1.1.1.17
638,MACPD,4.1.1.87
639,MALDDH,1.1.1.83
640,MALS,2.3.3.9
641,MALTATr,2.3.1.79
642,MALTTRabcpp,3.6.3
643,MALTTTRabcpp,3.6.3
644,MALTabcpp,3.6.3.19
645,MAN1PT2,2.7.7.22
646,MAN6PI,5.3.1.8
647,MANAO,1.1.1.57
648,MANPGH,3.2.1.170
649,MCITD,4.2.1.79
650,MCITL2,4.1.3.30
651,MCITS,2.3.3.5
652,MCOATA,2.3.1.86
653,MCPST,2.8.1.2
654,MDDCP1pp,3.4.16.4
655,MDDCP2pp,3.4.16.4
656,MDDCP3pp,3.4.16.4
657,MDDCP4pp,3.4.16.4
658,MDDCP5pp,3.4.16.4
659,MDH,1.1.1.37
660,ME1,1.1.1.39
661,ME2,1.1.1.40
662,MECDPS,4.6.1.12
663,MEPCT,2.7.7.60
664,METAT,2.5.1.6
665,METS,2.1.1.13
666,METSOXR1,1.8.4.14
667,METTRS,6.1.1.10
668,MG2uabcpp,3.6.3.2
669,MGSA,4.2.3.3
670,MI1PP,3.1.3.25
671,MICITDr,4.2.1.99
672,MLDCP1App,3.4.17.13
673,MLDCP1Bpp,3.4.17.13
674,MLDCP2App,3.4.17.13
675,MLDCP2Bpp,3.4.17.13
676,MLDCP3App,3.4.17.13
677,MLTG1,3.2.1.20
678,MLTG3,3.2.1.74
679,MLTP1,2.4.1.1
680,MLTP2,2.4.1.1
681,MLTP3,2.4.1.1
682,MMCD,4.1.1.9
683,MNNH,4.2.1.8
684,MOAT,2.4.99.12
685,MOAT2,2.4.99.13
686,MOBDabcpp,3.6.3.29
687,MOHMT,2.1.2.11
688,MOX,1.1.5.4
689,MSAR,1.1.1.298
690,MTAN,3.2.2.9
691,MTHFC,3.5.4.9
692,MTHFD,1.5.1.5
693,MTHFR2,1.5.1.20
694,MTRPOX,1.5.3.2
695,NADDP,3.6.1.9
696,NADH16pp,1.6.5.3
697,NADH17pp,1.6.5.3
698,NADH18pp,1.6.5.3
699,NADK,2.7.1.23
700,NADN,3.5.1.-
701,NADPPPS,3.1.3.-
702,NADS1,6.3.1.5
703,NADTRHD,1.6.1.3
704,NAMNPP,6.3.4.21
705,NDPK1,2.7.4.6
706,NDPK2,2.7.4.6
707,NDPK3,2.7.4.6
708,NDPK4,2.7.4.6
709,NDPK5,2.7.4.6
710,NDPK6,2.7.4.6
711,NDPK7,2.7.4.6
712,NDPK8,2.7.4.6
713,NHFRBO,1.7.1.14
714,NI2abcpp,3.6.3.24
715,NI2uabcpp,3.6.3.24
716,NMNAT,2.7.7.18
717,NMNDA,3.5.1.42
718,NMNN,3.2.2.14
719,NMNt7pp,3.2.2.14
720,NNAM,3.5.1.19
721,NNATr,2.7.7.18
722,NNDMBRT,2.4.2.21
723,NNDPR,2.4.2.19
724,NO3R2bpp,1.7.99.4
725,NODOx,1.14.12.17
726,NODOy,1.14.12.17
727,NTD1,3.1.3.89
728,NTD10,3.1.3.5
729,NTD10pp,3.1.3.5
730,NTD11,3.1.3.5
731,NTD11pp,3.1.3.5
732,NTD1pp,3.1.3.89
733,NTD2,3.1.3.5
734,NTD2pp,3.1.3.5
735,NTD3,3.1.3.89
736,NTD3pp,3.1.3.89
737,NTD4,3.1.3.91
738,NTD4pp,3.1.3.91
739,NTD5,3.1.3.89
740,NTD5pp,3.1.3.89
741,NTD6,3.1.3.89
742,NTD6pp,3.1.3.89
743,NTD7,3.1.3.5
744,NTD7pp,3.1.3.5
745,NTD8,3.1.3.89
746,NTD8pp,3.1.3.89
747,NTD9,3.1.3.5
748,NTD9pp,3.1.3.5
749,NTP1,3.6.4.9
750,NTP10,3.6.1.5
751,NTP12,3.6.1
752,NTP3,3.6.5.6
753,NTP3pp,3.6.5.6
754,NTP5,3.6.1.5
755,NTPP1,3.6.1.19
756,NTPP10,3.6.1.66
757,NTPP11,3.6.1.66
758,NTPP2,3.6.1.8
759,NTPP3,3.6.1.65
760,NTPP4,3.6.1.8
761,NTPP5,3.6.1.19
762,NTPP6,3.6.1.8
763,NTPP7,3.6.1.19
764,NTPP8,3.6.1.8
765,NTPP9,3.6.1.8
766,NTPTP1,3.1.5.1
767,NTRIR2x,1.7.1.4
768,OAADC,4.1.1.3
769,OBTFL,2.3.1.54
770,OCBT,2.1.3.3
771,OCTDPS,2.5.1.90
772,OGMEACPD,4.2.1.59
773,OHPBAT,2.6.1.52
774,OHPHM,2.1.1.222
775,OMCDC,1.1.1.85
776,OMPDC,4.1.1.23
777,OP4ENH,4.2.1.80
778,OPHBDC,4.1.1.98
779,OPMEACPD,4.2.1.59
780,ORNDC,4.1.1.17
781,ORNabcpp,3.6.3.21
782,ORPT,2.4.2.10
783,OXAMTC,2.1.3.5
784,OXCDC,4.1.1.8
785,OXDHCOAT,2.3.1.223
786,P5CD,1.5.1.12
787,P5CR,1.5.1.2
788,PACCOAL,6.2.1.30
789,PANTS,6.3.2.1
790,PAPA160,3.1.3.4
791,PAPA160pp,3.1.3.4
792,PAPPT3,2.7.8.13
793,PAPSR,1.8.4.8
794,PAPSR2,1.8.4.8
795,PDE1,3.1.4.53
796,PDE4,3.1.4.35
797,PDH,2.3.1.12
798,PDX5POi,1.4.3.5
799,PDXPP,3.1.3.74
800,PEAMNOpp,1.4.3.6
801,PERD,1.1.1.290
802,PFK,2.7.1.11
803,PFK_2,2.7.1.56
804,PFK_3,2.7.1.11
805,PFL,2.3.1.54
806,PGAMT,5.4.2.10
807,PGCD,1.1.1.95
808,PGI,5.3.1.9
809,PGK,2.7.2.3
810,PGL,3.1.1.31
811,PGLYCP,3.1.3.18
812,PGM,5.4.2.12
813,PGMT,5.4.2.5
814,PGPP120,3.1.3.27
815,PGPP120pp,3.1.3.27
816,PGPP160,3.1.3.27
817,PGPP160pp,3.1.3.27
818,PGPP161,3.1.3.27
819,PGPP161pp,3.1.3.27
820,PGPP180,3.1.3.27
821,PGPP180pp,3.1.3.27
822,PGPP181,3.1.3.27
823,PGPP181pp,3.1.3.27
824,PGSA120,2.7.8.5
825,PGSA160,2.7.8.5
826,PGSA161,2.7.8.5
827,PGSA180,2.7.8.5
828,PGSA181,2.7.8.5
829,PHEMEabcpp,3.6.3.41
830,PHETA1,2.6.1.9
831,PHETRS,6.1.1.20
832,PIuabcpp,3.6.3.27
833,PLIPA1A120pp,3.1.1.32
834,PLIPA1A140pp,3.1.1.32
835,PLIPA1A141pp,3.1.1.32
836,PLIPA1A160pp,3.1.1.32
837,PLIPA1A180pp,3.1.1.32
838,PLIPA1E160pp,3.1.1.32
839,PLIPA1E180pp,3.1.1.32
840,PLIPA2A120pp,3.1.1.4
841,PLIPA2A140pp,3.1.1.4
842,PLIPA2A141pp,3.1.1.4
843,PLIPA2A160pp,3.1.1.4
844,PLIPA2A180pp,3.1.1.4
845,PMANM,5.4.2.8
846,PMDPHT,3.1.3.-
847,PMEACPE,3.1.1.85
848,PMPK,2.7.4.7
